Status,Disbursement,Date of Disbursement,YEAR of Disbursement,Contract,Gender,Repeat SME,"Last Study
Date","Date of creation 
of the Health SME",Average Age of the SME (years),"Specialty of the 
Medical Equipment",SPECIALTY GROUP,Brand,Model,Year,Serial Number, Equipment Value ($ Mexican Pesos) , Equipment Value (€ Euro) ,"Number of 
Consultations per Day","Number of 
Consultations per Month",Income per Consultation (MXN),Patients (BACKBONE),Pacientes (Monthly Consultations times 6?),Number of Surgeries or Treatments per Month,Income per Surgeries or Treatments (MXN),Number of Childbirths per Month,CLINIC SIZE BACKBONE,Clinic Size,% of Patients with Middle-Low to Low Income,"Number of Beds 
 Ambulatory or for Hospitalization",Number of Doctors,Non Medical Staff,Total Staff,Attends Patients with Health Insurance,Location of the Health SME,ZIP CODE,REGION (BACKBONE),Country,State,Municipality,City,Address,Instagram,Facebook,LinkedIn,Web Page,Final_Address,latitud,longitud,Alt_Address_1,Alt_Address_2,geometry,index_right,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVEGEO,AMBITO,POBTOT,VIVTOT,PEA,P_12YMAS,PDER_SS,VPH_C_SERV,PRO_OCUP_C,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_PC,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,Clave de entidad,Entidad federativa,clave_municipio,Municipio,Pobreza_Porcentaje_2020,Pobreza_extrema_Porcentaje2020,Carencia_acceso_seguridad_social_Porcentaje2020,Carencia_acceso_alimentación_Porcentaje2020,Rezago_educativo_Porcentaje2020,tasa_empleo,NSE_score,NSE,precio_promedio
Paid Off,D1.5,8/4/2022,2022,AP0376-001,Woman,No,-,11/4/2008,"15,73",Gynecology,Gynecology,Mindray,DC3,2016,MU-09003873," $ 220 400,00 "," $ 10 091,58 ",10,300," $ 500,00 ",  900 ,1800,-, - ,,Micro,Micro,60%,1,1,2,3,No,Semiurban,23600,NorthWest,Mexico,Baja California Sur,Comondú,Ciudad Constitución,"Comondú, Baja California Sur, Mexico",NO LE A METIDO A REDES SOCIALES PORQUE NO ES SU MERCADO,https://www.seccionamarilla.com.mx/resultados/de-ginecologo-y-obstetra/estado-de-mexico/10,NO LE A METIDO A REDES SOCIALES PORQUE NO ES SU MERCADO,-,"ALVARO OBREGON 122, Comondú, Baja California Sur, Mexico",25.0403865,-111.6573263,"COMONDÚ, BAJA CALIFORNIA SUR, MEXICO","BAJA CALIFORNIA SUR, MEXICO",POINT (-111.6573263 25.0403865),2406,03,001,0001,3260,0300100013260,Urbana,1084,328,551.0,865.0,1016.0,300.0,1.08,297.0,232.0,138.0,252.0,134.0,186.0,183.0,69.0,39.0,3.0,Baja California Sur,1.0,Comondú,34.9496860023,4.2766541598,48.5992471851,24.1745925084,17.802910068,0.6369942196531792,16.008080482875865,Medio-Alto,
Paid Off,déc.-24,31/12/2024,2024,AP0391-004,Man,No,-,6/11/2003,"21,17",Ophthalmology,Ophthalmology,MEDIWORKS,SCANSYS TA517,2024,TA517-J202308101-01-00002  ," $ 555 360,00 "," $ 25 428,57 ",17,340," $ 620,00 ",  1 020 ,2040,28," $ 22 000,00 ",,Micro,Micro,20%,0,1,2,3,Yes,Urban,64060,NorthEast,Mexico,Nuevo León,Monterrey,Monterrey,"Monterrey, Nuevo León, Mexico",http://www.cmhidalgo.com.mx/portal/index.php/sepulveda-sepulveda-rafael,https://www.doctoralia.com.mx/rafael-sepulveda-sepulveda/oftalmologo/monterrey,https://www.topdoctors.mx/doctor/jose-rafael-sepulveda-sepulveda,,"MIGUEL HIDALGO 2425, Monterrey, Nuevo León, Mexico",25.6724071,-100.3469646,"MONTERREY, NUEVO LEÓN, MEXICO","NUEVO LEÓN, MEXICO",POINT (-100.3469646 25.6724071),39014,19,039,0001,4144,1903900014144,Urbana,883,562,438.0,824.0,785.0,286.0,0.48,286.0,277.0,258.0,262.0,245.0,270.0,203.0,179.0,76.0,19.0,Nuevo León,39.0,Monterrey,19.2234808152,1.7653326618,41.9833891638,11.9565698913,10.1070453321,0.5315533980582524,12.915379410978328,Medio-Alto,1153.1494252873563
Paid Off,D1.5,8/4/2022,2022,AP0424-002,Enterprise,Yes - Include,0,17/5/2020,"4,63",Imagenology,Radiology & Imaging,PHILLIPS,CLEA VUE 350,2022,SZ32182549," $ 446 948,00 "," $ 20 464,65 ",8,160," $ 620,00 ",  480 ,480,120," $ 7 000,00 ",,Micro,Micro,20%,0,1,4,5,No,Urban,44560,West-Bajio,Mexico,Jalisco,Guadalajara,Guadalajara,"Guadalajara, Jalisco, Mexico",WWW.BIENESTAREMPRESARIAL.MX,https://lasempresas.com.mx/diagnostico-medico-bienestar-empresarial/,https://www.linkedin.com/in/sonia-aide-rodr%C3%ADguez-robles-gil-81a28034/,,"LAPIZLAZULI 2905, Guadalajara, Jalisco, Mexico",20.64091,-103.38977,"GUADALAJARA, JALISCO, MEXICO","JALISCO, MEXICO",POINT (-103.38977 20.64091),24028,14,039,0001,2681,1403900012681,Urbana,4038,1384,2045.0,3560.0,3330.0,1266.0,0.65,1261.0,1200.0,1021.0,1008.0,902.0,1097.0,737.0,418.0,268.0,14.0,Jalisco,39.0,Guadalajara,24.8215832086,1.5320315743,40.7200479142,9.9275705011,9.4161766126,0.574438202247191,25.33328484695262,Alto,300.0
Paid Off,oct.-22,31/10/2022,2022,AP0424-003,Enterprise,Yes,-,17/5/2020,"4,38",Imagenology,Radiology & Imaging,GE,LUNAR PRODIGY BONE,2022,64987," $ 455 308,93 "," $ 20 847,48 ",8,240," $ 500,00 ",  720 ,1440,120," $ 1 900,00 ",,Micro,Small,20%,0,1,4,5,No,Urban,44560,West-Bajio,Mexico,Jalisco,Guadalajara,Guadalajara,"Guadalajara, Jalisco, Mexico",WWW.BIENESTAREMPRESARIAL.MX,https://lasempresas.com.mx/diagnostico-medico-bienestar-empresarial/,https://www.linkedin.com/in/sonia-aide-rodr%C3%ADguez-robles-gil-81a28034/,,"LAPIZLAZULI 2905, Guadalajara, Jalisco, Mexico",20.64091,-103.38977,"GUADALAJARA, JALISCO, MEXICO","JALISCO, MEXICO",POINT (-103.38977 20.64091),24028,14,039,0001,2681,1403900012681,Urbana,4038,1384,2045.0,3560.0,3330.0,1266.0,0.65,1261.0,1200.0,1021.0,1008.0,902.0,1097.0,737.0,418.0,268.0,14.0,Jalisco,39.0,Guadalajara,24.8215832086,1.5320315743,40.7200479142,9.9275705011,9.4161766126,0.574438202247191,25.33328484695262,Alto,300.0
Paid Off,avr.-23,30/4/2023,2023,AP0424-005,Enterprise,Yes,0,17/5/2020,"4,63",Imagenology,Radiology & Imaging,IMADINE,BTL-6000 TRT Radiofrecuencia,2023,DBA022310129," $ 377 000,00 "," $ 17 261,90 ",8,160," $ 620,00 ",  480 ,480,120," $ 7 000,00 ",,Micro,Micro,20%,0,1,4,5,No,Urban,44560,West-Bajio,Mexico,Jalisco,Guadalajara,Guadalajara,"Guadalajara, Jalisco, Mexico",WWW.BIENESTAREMPRESARIAL.MX,https://lasempresas.com.mx/diagnostico-medico-bienestar-empresarial/,https://www.linkedin.com/in/sonia-aide-rodr%C3%ADguez-robles-gil-81a28034/,,"LAPIZLAZULI 2905, Guadalajara, Jalisco, Mexico",20.64091,-103.38977,"GUADALAJARA, JALISCO, MEXICO","JALISCO, MEXICO",POINT (-103.38977 20.64091),24028,14,039,0001,2681,1403900012681,Urbana,4038,1384,2045.0,3560.0,3330.0,1266.0,0.65,1261.0,1200.0,1021.0,1008.0,902.0,1097.0,737.0,418.0,268.0,14.0,Jalisco,39.0,Guadalajara,24.8215832086,1.5320315743,40.7200479142,9.9275705011,9.4161766126,0.574438202247191,25.33328484695262,Alto,300.0
Active,avr.-23,30/4/2023,2023,AP0424-007,Enterprise,Yes,0,17/5/2020,"4,62739726",Imagenology,Radiology & Imaging,BECKMAN,BS-240 ANALIZADOR DE QUIMICA CLINICA,2022,400360," $ 458 200,00 "," $ 20 979,85 ",8,160," $ 620,00 ",  480 ,480,120," $ 7 000,00 ",,Micro,Micro,20%,0,1,4,5,No,Urban,44560,West-Bajio,Mexico,Jalisco,Guadalajara,Guadalajara,"Guadalajara, Jalisco, Mexico",WWW.BIENESTAREMPRESARIAL.MX,https://lasempresas.com.mx/diagnostico-medico-bienestar-empresarial/,https://www.linkedin.com/in/sonia-aide-rodr%C3%ADguez-robles-gil-81a28034/,,"LAPIZLAZULI 2905, Guadalajara, Jalisco, Mexico",20.64091,-103.38977,"GUADALAJARA, JALISCO, MEXICO","JALISCO, MEXICO",POINT (-103.38977 20.64091),24028,14,039,0001,2681,1403900012681,Urbana,4038,1384,2045.0,3560.0,3330.0,1266.0,0.65,1261.0,1200.0,1021.0,1008.0,902.0,1097.0,737.0,418.0,268.0,14.0,Jalisco,39.0,Guadalajara,24.8215832086,1.5320315743,40.7200479142,9.9275705011,9.4161766126,0.574438202247191,25.33328484695262,Alto,300.0
Paid Off,oct.-23,31/10/2023,2023,AP0426-002,Man,No,-,1/1/2006,"18,76",Imagenology,Radiology & Imaging,ALPINION,ECUBE 8 ,2022,L00595 ," $ 431 340,00 "," $ 19 750,00 ",60,1800," $ 250,00 ",  5 400 ,10800,300," $ 3 500,00 ",,Small,Medium,70%,0,3,7,10,No,Urban,57130,Center,Mexico,México,Nezahualcóyotl,Ciudad Nezahualcoyotl,"Nezahualcóyotl, México, Mexico",,https://www.facebook.com/labosanantonio/,https://www.labsanantonio.com/,,"HACIENDA DE TOMACOCO 124, Nezahualcóyotl, México, Mexico",19.4817594,-99.0441583,"NEZAHUALCÓYOTL, MÉXICO, MEXICO","MÉXICO, MEXICO",POINT (-99.0441583 19.4817594),30190,15,058,0001,0168,1505800010168,Urbana,7885,2243,4157.0,6662.0,5274.0,2148.0,0.89,1990.0,1708.0,1178.0,808.0,1048.0,1509.0,724.0,462.0,357.0,15.0,México,58.0,Nezahualcóyotl,46.4596328984,5.1419148981,56.4743781829,17.2397514572,8.5752693053,0.6239867907535275,13.83826172873268,Medio-Alto,
Paid Off,déc.-22,31/12/2022,2022,AP0450-004,Enterprise,No,-,11/10/2001,"22,24",Ophthalmology,Ophthalmology,SALE AND LEASEBACK,VARIOS,2022,POR DEFINIR," $ 5 872 259,00 "," $ 268 876,33 ",15,450," $ 800,00 ",  1 350 ,2700,4," $ 8 000,00 ",,Micro,Small,20%,1,1,3,4,No,Urban,20120,South,Mexico,Veracruz de Ignacio de la Llave,Aguascalientes,Aguascalientes,"Aguascalientes, Veracruz de Ignacio de la Llave, Mexico",,https://www.facebook.com/pages/Excimer%20Laser/158997130912644,,,"AV LUIS DONALDO COLOSIO 111, Aguascalientes, Veracruz de Ignacio de la Llave, Mexico",20.4398018,-97.0937233,"AGUASCALIENTES, VERACRUZ DE IGNACIO DE LA LLAVE, MEXICO","VERACRUZ DE IGNACIO DE LA LLAVE, MEXICO",POINT (-97.0937233 20.4398018),58809,30,069,0001,0217,3006900010217,Urbana,966,327,483.0,791.0,642.0,276.0,1.06,253.0,201.0,75.0,55.0,74.0,142.0,142.0,13.0,10.0,30.0,Veracruz de Ignacio de la Llave,69.0,Gutiérrez Zamora,57.7861536353,10.1489099709,74.2162175843,26.1550180729,23.1036599217,0.6106194690265486,-0.2903735469405951,Bajo-Alto,
Active,juin-24,30/6/2024,2024,AP0450-010,Enterprise,Yes - Include,0,11/10/2001,"23,23835616",Ophthalmology,Ophthalmology,BAUSCH & LOMB,TECHNOLAS TENEO 317 MODEL 2,2023,T317â€“ 6004," $ 5 626 000,00 "," $ 257 600,73 ",19,380," $ 620,00 ",  1 140 ,1140,28," $ 22 000,00 ",,Micro,Micro,60%,0,1,3,4,No,Urban,20120,NorthEast,Mexico,Aguascalientes,Aguascalientes,Aguascalientes,"Aguascalientes, Aguascalientes, Mexico",https://mexicoo.mx/clinica-excimer-laser-de-aguascalientes-38980,https://www.facebook.com/pages/Excimer%20Laser/158997130912644,https://www.momadvisor.com.mx/profesionales-salud/aguascalientes/hospitales-clinicas/excimer-laser-de-aguascalientes-s-c/,,"BLVD LUIS DONALDO COLOSIO 111, Aguascalientes, Aguascalientes, Mexico",21.9247153,-102.3045084,"AGUASCALIENTES, AGUASCALIENTES, MEXICO","AGUASCALIENTES, MEXICO",POINT (-102.3045084 21.9247153),191,01,001,0001,2403,0100100012403,Urbana,2345,831,1307.0,2174.0,1761.0,743.0,0.53,739.0,725.0,681.0,705.0,644.0,707.0,591.0,480.0,253.0,1.0,Aguascalientes,1.0,Aguascalientes,23.6822578574,1.9740809501,37.7651196804,15.7702287046,9.3756554231,0.6011959521619136,30.60408791392183,Alto,
Active,sept.-25,31/09/2025,2025,AP0450-015,Enterprise,Yes,,11/10/2001,"24,28",Ophthalmology,Ophthalmology,Carl Zeiss,OPMI Lumera 700,2025,6634151619," $ 4 256 838,60 "," $ 207 650,66 ",15,300," $ 620,00 ",  900 ,900,28," $ 22 000,00 ",,Micro,Micro,55%,1,1,1,2,Yes,Urban,20100,NorthEast,Mexico,Aguascalientes,Jesús María,Jesús María,"Jesús María, Aguascalientes, Mexico",https://www.segurosmnyl.com.mx/itesm/DirectorioProveedores/DetalleProveedor/tabid/950/ItemId/142157/catId/16/EXCIMER-LASER-DE-AGUASCALIENTES.aspx,https://www.facebook.com/pages/Excimer%20Laser/158997130912644,https://www.momadvisor.com.mx/profesionales-salud/aguascalientes/hospitales-clinicas/excimer-laser-de-aguascalientes-s-c/,,"PASEO DE LAS MARAVILLAS 500 , Jesús María, Aguascalientes, Mexico",21.9487598,-102.3244998,"JESÚS MARÍA, AGUASCALIENTES, MEXICO","AGUASCALIENTES, MEXICO",POINT (-102.3244998 21.9487598),436,01,005,0245,0603,0100502450603,Urbana,2707,950,1432.0,2200.0,2122.0,763.0,0.73,756.0,708.0,592.0,649.0,562.0,612.0,422.0,384.0,240.0,1.0,Aguascalientes,5.0,Jesús María,26.3418356434,3.2854005406,41.8672450282,17.931114145,16.7888313974,0.6509090909090909,20.737812992444127,Alto,
Paid Off,D2.1,16/6/2022,2022,AP0468-003,Enterprise,Yes - Include,-,19/4/2020,"4,45",Imagenology,Radiology & Imaging,AGFA,Rayos X DXD100,2022,A5411003431," $ 2 159 780,80 "," $ 98 891,06 ",10,300," $ 550,00 ",  900 ,1800,18," $ 2 000,00 ",,Micro,Small,60%,1,1,4,5,Yes,Urban,81220,NorthWest,Mexico,Sinaloa,Ahome,Los Mochis,"Ahome, Sinaloa, Mexico",https://www.linkedin.com/in/dr-mario-enrique-grijalva-ruiz-91600178,https://es-la.facebook.com/radiologiadrsgrijalva/,http://www.radiologiadelfuturo.com.mx/,,"JAVIER MINA 940, Ahome, Sinaloa, Mexico",25.7967933,-108.994269,"AHOME, SINALOA, MEXICO","SINALOA, MEXICO",POINT (-108.994269 25.7967933),48846,25,001,0001,0205,2500100010205,Urbana,611,332,312.0,573.0,511.0,238.0,0.59,233.0,201.0,161.0,161.0,128.0,168.0,145.0,56.0,30.0,25.0,Sinaloa,1.0,Ahome,27.7465833719,2.4445039294,37.4485768761,23.1703278388,11.578253176,0.5445026178010471,12.307372649888382,Medio,
Paid Off,déc.-22,31/12/2022,2022,AP0468-004,Enterprise,Yes,-,19/4/2020,"4,45",Imagenology,Radiology & Imaging,AGFA,FULL LEG SPINE,2022,POR DEFINIR," $ 319 113,68 "," $ 14 611,43 ",10,300," $ 550,00 ",  900 ,1800,18," $ 2 000,00 ",,Micro,Small,60%,1,1,4,5,Yes,Urban,81220,NorthWest,Mexico,Sinaloa,Ahome,Los Mochis,"Ahome, Sinaloa, Mexico",https://www.linkedin.com/in/dr-mario-enrique-grijalva-ruiz-91600178,https://es-la.facebook.com/radiologiadrsgrijalva/,http://www.radiologiadelfuturo.com.mx/,,"JAVIER MINA 940, Ahome, Sinaloa, Mexico",25.7967933,-108.994269,"AHOME, SINALOA, MEXICO","SINALOA, MEXICO",POINT (-108.994269 25.7967933),48846,25,001,0001,0205,2500100010205,Urbana,611,332,312.0,573.0,511.0,238.0,0.59,233.0,201.0,161.0,161.0,128.0,168.0,145.0,56.0,30.0,25.0,Sinaloa,1.0,Ahome,27.7465833719,2.4445039294,37.4485768761,23.1703278388,11.578253176,0.5445026178010471,12.307372649888382,Medio,
Paid Off,août-23,31/8/2023,2023,AP0687-003,Enterprise,No,-,16/10/2014,"9,96",Cardiology,Cardiology & Related,BTL ,Cardio Point Flexi Stress Test,2023,07600B100617," $ 638 000,00 "," $ 29 212,45 ",8,240," $ 1 000,00 ",  720 ,1440,7," $ 2 500,00 ",,Micro,Small,15%,1,1,2,3,No,Urban,11810,Center,Mexico,Ciudad de México,Miguel Hidalgo,Ciudad de México,"Miguel Hidalgo, Ciudad de México, Mexico",,https://www.facebook.com/Dr-Antonio-Lugo-Dimas-103173771624164,https://www.doctoralia.com.mx/antonio-de-jesus-lugo-dimas/cardiologo/cuauhtemoc2,,"HOSPITAL DIOMED Av. Observatorio 354, Miguel Hidalgo, Ciudad de México, Mexico",19.4071156,-99.1906167,"MIGUEL HIDALGO, CIUDAD DE MÉXICO, MEXICO","CIUDAD DE MÉXICO, MEXICO",POINT (-99.1906167 19.4071156),13200,09,016,0001,1156,0901600011156,Urbana,8675,3164,4848.0,7532.0,6892.0,2920.0,0.8,2795.0,2505.0,2068.0,1255.0,1949.0,2404.0,1609.0,1368.0,820.0,9.0,Ciudad de México,16.0,Miguel Hidalgo,13.4686475807,0.9342489964,33.9109628091,8.3376278628,4.5183779795,0.6436537440254912,25.850332111517623,Alto,
Paid Off,D1.3,19/1/2022,2022,AP0541-001,Man,No,-,1/1/1983,"41,02",Gynecology,Gynecology,GENERAL ELECTRIC,P9 CON 5 TRANS,2020,-," $ 870 000,00 "," $ 39 835,16 ",20,600," $ 450,00 ",  1 800 ,3600,60," $ 2 000,00 ",,Micro,Small,90%,0,2,3,5,No,Urban,39810,West-Bajio,Mexico,Guerrero,Acapulco de Juárez,Acapulco de Juárez,"Acapulco de Juárez, Guerrero, Mexico",https://es-la.facebook.com/pages/category/Medical-Lab/Laboratorio-Colosio-295396583837653/,https://www.facebook.com/LABCOLOSO/,,-,"CARRETERA CAYACO PUERTO MARQUEZ S/N, Acapulco de Juárez, Guerrero, Mexico",16.8680495,-99.8940182,"ACAPULCO DE JUÁREZ, GUERRERO, MEXICO","GUERRERO, MEXICO",POINT (-99.8940182 16.8680495),19146,12,001,0001,269A,120010001269A,Urbana,4181,1572,2211.0,3549.0,3190.0,1313.0,0.94,1275.0,921.0,470.0,570.0,679.0,874.0,752.0,254.0,101.0,12.0,Guerrero,1.0,Acapulco de Juárez,52.1359912608,16.7252746164,55.4375459052,34.6395491978,16.2722407539,0.6229923922231615,5.74355071630673,Medio-Bajo,
Active,avr.-24,4/4/2024,2024,AP0608-002,Enterprise,Yes - Include,0,2/7/2010,"14,00547945",Imagenology,Radiology & Imaging,GENERAL ELECTRIC,VERSANA PREMIER,2024,6141772WX0," $ 498 800,00 "," $ 22 838,83 ",17,340," $ 620,00 ",  1 020 ,1020,16," $ 7 000,00 ",,Micro,Micro,30%,0,1,3,4,Yes,Urban,80040,NorthWest,Mexico,Sinaloa,Culiacán,Culiacán Rosales,"Culiacán, Sinaloa, Mexico",,https://www.facebook.com/sanatoriocemsi,https://www.tocdoc.com/doctor/dr-jose-romulo-rafael-felix-sanchez,,"BLVD PEDRO MARIA ANAYA 400, Culiacán, Sinaloa, Mexico",24.8325504,-107.3894035,"CULIACÁN, SINALOA, MEXICO","SINALOA, MEXICO",POINT (-107.3894035 24.8325504),49258,25,006,0001,0038,2500600010038,Urbana,4140,1619,2140.0,3672.0,3039.0,1378.0,0.74,1369.0,1107.0,934.0,999.0,974.0,1130.0,765.0,592.0,289.0,25.0,Sinaloa,6.0,Culiacán,23.0047124707,1.6938280783,38.9203795057,17.261090491,13.1342659314,0.5827886710239651,19.652059466503424,Alto,
Paid Off,sept.-24,30/9/2024,2024,AP0608-003,Enterprise,Yes,0,12/6/2010,"14,56",Radiology,Radiology & Imaging,GENERAL ELECTRIC,REVOLUTION ACTs,2025,81543BG1B75542EB," $ 3 044 831,85 "," $ 139 415,38 ",84,1680," $ 350,00 ",  5 040 ,5040,1801," $ 9 000,00 ",,Micro,Micro,60%,0,1,3,4,No,Rural,80040,NorthWest,Mexico,Sinaloa,Culiacán,Culiacán Rosales,"Culiacán, Sinaloa, Mexico",,https://www.facebook.com/sanatoriocemsi,https://www.tocdoc.com/doctor/dr-jose-romulo-rafael-felix-sanchez,,"BLVD PEDRO ANAYA 400, Culiacán, Sinaloa, Mexico",24.8325504,-107.3894035,"CULIACÁN, SINALOA, MEXICO","SINALOA, MEXICO",POINT (-107.3894035 24.8325504),49258,25,006,0001,0038,2500600010038,Urbana,4140,1619,2140.0,3672.0,3039.0,1378.0,0.74,1369.0,1107.0,934.0,999.0,974.0,1130.0,765.0,592.0,289.0,25.0,Sinaloa,6.0,Culiacán,23.0047124707,1.6938280783,38.9203795057,17.261090491,13.1342659314,0.5827886710239651,19.652059466503424,Alto,
Paid Off,juin-23,30/6/2023,2023,AP0610-003,Enterprise,No,-,22/3/2013,"10,78",Ophthalmology,Ophthalmology,TOPCON,MICROSCOPIO ESPECULAR SP,2023,Z450877," $ 420 250,00 "," $ 19 242,22 ",19,380," $ 800,00 ",  1 140 ,2280,28," $ 27 000,00 ",,Micro,Micro,30%,0,1,2,3,Yes,Urban,36640,West-Bajio,Mexico,Guanajuato,Irapuato,Irapuato,"Irapuato, Guanajuato, Mexico",https://www.drsixtosoftalmologoirapuato.com/,,https://www.doctoralia.com.mx/clinicas/clinica-murano-irapuato,,"AV. MURANO 248, Irapuato, Guanajuato, Mexico",20.6820044,-101.3761713,"IRAPUATO, GUANAJUATO, MEXICO","GUANAJUATO, MEXICO",POINT (-101.3761713 20.6820044),16553,11,017,0001,0788,1101700010788,Urbana,11258,2720,5692.0,8721.0,8772.0,2373.0,1.25,2263.0,1904.0,1095.0,915.0,709.0,1035.0,938.0,232.0,206.0,11.0,Guanajuato,17.0,Irapuato,35.5083892839,4.154026179,44.3187654211,20.5104610466,12.9902817532,0.6526774452471047,8.843364898819152,Medio,
Paid Off,D1.5,8/4/2022,2022,AP0622-002,Man,No,-,1/1/2016,"8,75",Imagenology,Radiology & Imaging,ASPEN,AIR TOUCH,2021,LM0500652102," $ 182 700,00 "," $ 8 365,38 ",5,150," $ 800,00 ",  450 ,900,23," $ 4 000,00 ",,Micro,Micro,10%,1,1,2,3,No,Urban,1900,Center,Mexico,Ciudad de México,Álvaro Obregón,Ciudad de México,"Álvaro Obregón, Ciudad de México, Mexico",https://instagram.com/drmariomacias?igshid=1uwlp853zspfl,https://www.facebook.com/drmariomacias/,,https://www.blackjaguarwhitetiger.org/mvz-esp-mario-macias/,"Lluvia 261, Álvaro Obregón, Ciudad de México, Mexico",19.3186616,-99.2081939,"ÁLVARO OBREGÓN, CIUDAD DE MÉXICO, MEXICO","CIUDAD DE MÉXICO, MEXICO",POINT (-99.2081939 19.3186616),12488,09,010,0001,1294,0901000011294,Urbana,3322,977,1971.0,3136.0,2611.0,870.0,0.49,869.0,858.0,848.0,842.0,807.0,837.0,786.0,683.0,367.0,9.0,Ciudad de México,10.0,Álvaro Obregón,37.69131992,5.6411960065,47.3574695751,16.3900469875,9.0191964948,0.6285076530612245,32.22269845504707,Alto,
